channel_key,upload_rank,age_days
360ec10e7973,1,5.21
360ec10e7973,2,5.21
360ec10e7973,3,5.21
360ec10e7973,4,5.21
360ec10e7973,5,5.21
360ec10e7973,6,5.21
360ec10e7973,7,5.21
360ec10e7973,8,5.21
360ec10e7973,9,5.21
360ec10e7973,10,5.21
11388c4c2ee4,1,0.35
11388c4c2ee4,2,0.35
11388c4c2ee4,3,0.35
11388c4c2ee4,4,1.11
11388c4c2ee4,5,1.12
11388c4c2ee4,6,1.14
11388c4c2ee4,7,1.26
11388c4c2ee4,8,1.75
11388c4c2ee4,9,1.75
11388c4c2ee4,10,1.77
11388c4c2ee4,11,1.82
11388c4c2ee4,12,1.84
11388c4c2ee4,13,1.85
11388c4c2ee4,14,1.89
11388c4c2ee4,15,1.89
11388c4c2ee4,16,2.77
11388c4c2ee4,17,2.85
11388c4c2ee4,18,2.85
11388c4c2ee4,19,2.86
11388c4c2ee4,20,2.86
11388c4c2ee4,21,2.86
11388c4c2ee4,22,2.86
11388c4c2ee4,23,2.88
11388c4c2ee4,24,2.88
11388c4c2ee4,25,2.89
11388c4c2ee4,26,2.9
11388c4c2ee4,27,2.91
11388c4c2ee4,28,2.91
11388c4c2ee4,29,2.91
11388c4c2ee4,30,2.91
11388c4c2ee4,31,2.91
11388c4c2ee4,32,2.92
11388c4c2ee4,33,2.92
11388c4c2ee4,34,2.92
11388c4c2ee4,35,2.92
11388c4c2ee4,36,2.92
11388c4c2ee4,37,2.92
11388c4c2ee4,38,2.92
11388c4c2ee4,39,3.94
11388c4c2ee4,40,3.94
11388c4c2ee4,41,3.94
11388c4c2ee4,42,3.94
11388c4c2ee4,43,4.12
11388c4c2ee4,44,4.12
11388c4c2ee4,45,4.12
11388c4c2ee4,46,4.91
11388c4c2ee4,47,4.93
11388c4c2ee4,48,4.94
11388c4c2ee4,49,4.95
11388c4c2ee4,50,4.96
fc6c61c0d039,1,0.44
fc6c61c0d039,2,1.36
fc6c61c0d039,3,2.44
fc6c61c0d039,4,3.44
fc6c61c0d039,5,4.43
fc6c61c0d039,6,5.44
fc6c61c0d039,7,6.43
fc6c61c0d039,8,7.44
fc6c61c0d039,9,8.44
fc6c61c0d039,10,9.44
fc6c61c0d039,11,10.44
fc6c61c0d039,12,11.44
fc6c61c0d039,13,12.41
fc6c61c0d039,14,13.43
fc6c61c0d039,15,14.43
fc6c61c0d039,16,15.44
fc6c61c0d039,17,16.4
fc6c61c0d039,18,17.44
fc6c61c0d039,19,18.42
fc6c61c0d039,20,19.44
fc6c61c0d039,21,20.41
fc6c61c0d039,22,21.44
fc6c61c0d039,23,23.44
fc6c61c0d039,24,24.44
fc6c61c0d039,25,25.44
fc6c61c0d039,26,26.44
fc6c61c0d039,27,28.44
fc6c61c0d039,28,29.44
fc6c61c0d039,29,30.43
fc6c61c0d039,30,31.43
fc6c61c0d039,31,32.44
fc6c61c0d039,32,33.4
fc6c61c0d039,33,34.3
fc6c61c0d039,34,34.44
fc6c61c0d039,35,35.29
fc6c61c0d039,36,36.31
fc6c61c0d039,37,36.43
fc6c61c0d039,38,37.29
fc6c61c0d039,39,37.44
fc6c61c0d039,40,38.32
fc6c61c0d039,41,38.44
fc6c61c0d039,42,39.31
fc6c61c0d039,43,39.44
fc6c61c0d039,44,40.3
fc6c61c0d039,45,40.44
fc6c61c0d039,46,41.44
fc6c61c0d039,47,42.3
fc6c61c0d039,48,42.44
fc6c61c0d039,49,43.3
fc6c61c0d039,50,43.44
134dfe9fc39e,1,0.64
134dfe9fc39e,2,0.68
134dfe9fc39e,3,1.69
134dfe9fc39e,4,1.77
134dfe9fc39e,5,1.81
134dfe9fc39e,6,5.74
