country,category,category_id,pages,total_results,videos,distinct_channels,shorts,short_channels,error
US,(generale),,4,200,199,199,17,17,
US,Film & Animation,1,4,200,200,200,197,197,
US,Autos & Vehicles,2,4,200,200,200,183,183,
US,Music,10,1,30,30,28,13,12,
US,Pets & Animals,15,4,200,200,200,197,197,
US,Sports,17,4,200,200,200,190,190,
US,Travel & Events,19,0,,0,0,0,0,HTTP 404
US,Gaming,20,3,137,137,137,6,6,
US,People & Blogs,22,2,90,90,90,8,8,
US,Comedy,23,4,200,200,200,196,196,
US,Entertainment,24,4,200,200,200,200,200,
US,News & Politics,25,4,196,193,193,67,67,
US,Howto & Style,26,4,200,200,200,196,196,
US,Education,27,0,,0,0,0,0,HTTP 404
US,Tech,28,4,200,200,200,121,121,
US,Nonprofits,29,1,1,1,1,1,1,
IT,(generale),,4,200,199,199,24,24,
IT,Film & Animation,1,4,200,199,199,194,194,
IT,Autos & Vehicles,2,4,200,200,200,188,188,
IT,Music,10,1,30,30,28,12,10,
IT,Pets & Animals,15,4,200,200,200,199,199,
IT,Sports,17,4,200,200,200,176,176,
IT,Travel & Events,19,0,,0,0,0,0,HTTP 404
IT,Gaming,20,2,100,99,99,2,2,
IT,People & Blogs,22,1,6,6,6,0,0,
IT,Comedy,23,4,200,199,199,196,196,
IT,Entertainment,24,4,200,200,200,198,198,
IT,News & Politics,25,4,200,200,200,39,39,
IT,Howto & Style,26,4,200,200,200,199,199,
IT,Education,27,0,,0,0,0,0,HTTP 404
IT,Tech,28,4,189,189,189,136,136,
IT,Nonprofits,29,1,1,1,1,1,1,
GB,(generale),,4,200,200,200,17,17,
GB,Film & Animation,1,4,200,200,200,195,195,
GB,Autos & Vehicles,2,4,200,200,200,163,163,
GB,Music,10,1,30,30,29,14,13,
GB,Pets & Animals,15,4,200,200,200,199,199,
GB,Sports,17,4,200,200,200,183,183,
GB,Travel & Events,19,0,,0,0,0,0,HTTP 404
GB,Gaming,20,3,132,131,131,4,4,
GB,People & Blogs,22,2,86,86,86,6,6,
GB,Comedy,23,4,200,200,200,195,195,
GB,Entertainment,24,4,200,200,200,197,197,
GB,News & Politics,25,4,182,182,182,48,48,
GB,Howto & Style,26,4,200,200,200,193,193,
GB,Education,27,0,,0,0,0,0,HTTP 404
GB,Tech,28,4,200,200,200,109,109,
GB,Nonprofits,29,1,1,1,1,0,0,
DE,(generale),,4,200,200,200,16,16,
DE,Film & Animation,1,4,200,200,200,184,184,
DE,Autos & Vehicles,2,4,200,200,200,180,180,
DE,Music,10,1,30,30,29,15,14,
DE,Pets & Animals,15,4,200,200,200,199,199,
DE,Sports,17,4,200,200,200,184,184,
DE,Travel & Events,19,0,,0,0,0,0,HTTP 404
DE,Gaming,20,3,121,121,121,2,2,
DE,People & Blogs,22,2,82,82,82,12,12,
DE,Comedy,23,4,200,200,200,195,195,
DE,Entertainment,24,4,200,200,200,189,189,
DE,News & Politics,25,3,145,145,145,65,65,
DE,Howto & Style,26,4,200,200,200,196,196,
DE,Education,27,0,,0,0,0,0,HTTP 404
DE,Tech,28,4,200,200,200,133,133,
DE,Nonprofits,29,0,,0,0,0,0,HTTP 404
FR,(generale),,4,200,200,200,21,21,
FR,Film & Animation,1,4,200,200,200,191,191,
FR,Autos & Vehicles,2,4,200,200,200,173,173,
FR,Music,10,1,30,30,28,15,14,
FR,Pets & Animals,15,4,200,200,200,198,198,
FR,Sports,17,4,200,200,200,177,177,
FR,Travel & Events,19,0,,0,0,0,0,HTTP 404
FR,Gaming,20,4,153,152,152,3,3,
FR,People & Blogs,22,1,40,40,40,1,1,
FR,Comedy,23,4,200,199,199,194,194,
FR,Entertainment,24,4,200,200,200,194,194,
FR,News & Politics,25,4,159,158,158,53,53,
FR,Howto & Style,26,4,200,200,200,195,195,
FR,Education,27,0,,0,0,0,0,HTTP 404
FR,Tech,28,4,200,200,200,146,146,
FR,Nonprofits,29,0,,0,0,0,0,HTTP 404
ES,(generale),,4,200,199,199,21,21,
ES,Film & Animation,1,4,200,200,200,195,195,
ES,Autos & Vehicles,2,4,200,200,200,180,180,
ES,Music,10,1,30,30,27,6,6,
ES,Pets & Animals,15,4,200,200,200,200,200,
ES,Sports,17,4,200,200,200,187,187,
ES,Travel & Events,19,0,,0,0,0,0,HTTP 404
ES,Gaming,20,3,113,112,112,3,3,
ES,People & Blogs,22,2,58,58,58,3,3,
ES,Comedy,23,4,200,200,200,196,196,
ES,Entertainment,24,4,200,200,200,193,193,
ES,News & Politics,25,4,200,200,200,75,75,
ES,Howto & Style,26,4,200,200,200,198,198,
ES,Education,27,0,,0,0,0,0,HTTP 404
ES,Tech,28,4,200,199,199,151,151,
ES,Nonprofits,29,0,,0,0,0,0,HTTP 404
BR,(generale),,4,200,198,198,12,12,
BR,Film & Animation,1,4,200,200,200,200,200,
BR,Autos & Vehicles,2,4,200,200,200,192,192,
BR,Music,10,1,30,30,24,8,8,
BR,Pets & Animals,15,4,200,200,200,200,200,
BR,Sports,17,4,200,200,200,181,181,
BR,Travel & Events,19,0,,0,0,0,0,HTTP 404
BR,Gaming,20,4,160,158,158,3,3,
BR,People & Blogs,22,1,9,9,9,0,0,
BR,Comedy,23,4,200,200,200,199,199,
BR,Entertainment,24,4,200,200,200,199,199,
BR,News & Politics,25,3,141,141,141,55,55,
BR,Howto & Style,26,4,200,200,200,198,198,
BR,Education,27,0,,0,0,0,0,HTTP 404
BR,Tech,28,4,175,175,175,129,129,
BR,Nonprofits,29,1,1,1,1,1,1,
JP,(generale),,4,200,200,200,17,17,
JP,Film & Animation,1,4,200,200,200,196,196,
JP,Autos & Vehicles,2,4,200,200,200,131,131,
JP,Music,10,1,30,30,26,3,3,
JP,Pets & Animals,15,4,200,200,200,193,193,
JP,Sports,17,4,200,200,200,192,192,
JP,Travel & Events,19,0,,0,0,0,0,HTTP 404
JP,Gaming,20,3,128,128,128,2,2,
JP,People & Blogs,22,1,2,2,2,1,1,
JP,Comedy,23,4,200,200,200,197,197,
JP,Entertainment,24,4,200,200,200,199,199,
JP,News & Politics,25,2,85,85,85,28,28,
JP,Howto & Style,26,4,200,200,200,195,195,
JP,Education,27,0,,0,0,0,0,HTTP 404
JP,Tech,28,3,116,116,116,55,55,
JP,Nonprofits,29,0,,0,0,0,0,HTTP 404
IN,(generale),,4,200,196,196,23,23,
IN,Film & Animation,1,4,187,187,187,172,172,
IN,Autos & Vehicles,2,1,31,31,31,18,18,
IN,Music,10,1,30,30,26,3,3,
IN,Pets & Animals,15,3,103,101,101,82,82,
IN,Sports,17,2,77,71,71,36,36,
IN,Travel & Events,19,0,,0,0,0,0,HTTP 404
IN,Gaming,20,3,119,116,116,1,1,
IN,People & Blogs,22,1,10,10,10,1,1,
IN,Comedy,23,4,200,200,200,182,182,
IN,Entertainment,24,4,200,200,200,190,190,
IN,News & Politics,25,2,66,66,66,55,55,
IN,Howto & Style,26,4,200,200,200,186,186,
IN,Education,27,0,,0,0,0,0,HTTP 404
IN,Tech,28,2,60,60,60,42,42,
IN,Nonprofits,29,0,,0,0,0,0,HTTP 404
CA,(generale),,4,200,200,200,29,29,
CA,Film & Animation,1,4,200,200,200,192,192,
CA,Autos & Vehicles,2,4,200,200,200,172,172,
CA,Music,10,1,30,30,24,16,11,
CA,Pets & Animals,15,4,200,200,200,197,197,
CA,Sports,17,4,200,200,200,188,188,
CA,Travel & Events,19,0,,0,0,0,0,HTTP 404
CA,Gaming,20,4,173,172,172,7,7,
CA,People & Blogs,22,2,72,72,72,4,4,
CA,Comedy,23,4,200,200,200,191,191,
CA,Entertainment,24,4,200,200,200,195,195,
CA,News & Politics,25,4,164,164,164,35,35,
CA,Howto & Style,26,4,200,200,200,191,191,
CA,Education,27,0,,0,0,0,0,HTTP 404
CA,Tech,28,4,200,200,200,107,107,
CA,Nonprofits,29,1,1,1,1,0,0,
AU,(generale),,4,200,200,200,31,31,
AU,Film & Animation,1,4,200,200,200,196,196,
AU,Autos & Vehicles,2,4,200,200,200,153,153,
AU,Music,10,1,30,30,26,11,10,
AU,Pets & Animals,15,4,200,200,200,196,196,
AU,Sports,17,4,200,200,200,185,185,
AU,Travel & Events,19,0,,0,0,0,0,HTTP 404
AU,Gaming,20,4,152,151,151,5,5,
AU,People & Blogs,22,1,46,46,46,3,3,
AU,Comedy,23,4,200,200,200,192,192,
AU,Entertainment,24,4,200,200,200,196,196,
AU,News & Politics,25,4,185,185,185,33,33,
AU,Howto & Style,26,4,200,200,200,188,188,
AU,Education,27,0,,0,0,0,0,HTTP 404
AU,Tech,28,4,200,200,200,98,98,
AU,Nonprofits,29,1,1,1,1,0,0,
MX,(generale),,4,200,199,199,23,23,
MX,Film & Animation,1,4,200,200,200,195,195,
MX,Autos & Vehicles,2,4,200,200,200,191,191,
MX,Music,10,1,30,30,28,6,6,
MX,Pets & Animals,15,4,200,200,200,197,197,
MX,Sports,17,4,200,200,200,183,183,
MX,Travel & Events,19,0,,0,0,0,0,HTTP 404
MX,Gaming,20,4,153,151,151,4,4,
MX,People & Blogs,22,1,9,9,9,3,3,
MX,Comedy,23,4,200,200,200,196,196,
MX,Entertainment,24,4,200,200,200,197,197,
MX,News & Politics,25,3,141,140,140,53,53,
MX,Howto & Style,26,4,200,200,200,198,198,
MX,Education,27,0,,0,0,0,0,HTTP 404
MX,Tech,28,4,186,185,185,134,134,
MX,Nonprofits,29,0,,0,0,0,0,HTTP 404
AR,(generale),,4,200,200,200,12,12,
AR,Film & Animation,1,4,200,200,200,198,198,
AR,Autos & Vehicles,2,4,200,200,200,175,175,
AR,Music,10,1,30,30,30,6,6,
AR,Pets & Animals,15,4,200,200,200,199,199,
AR,Sports,17,4,200,200,200,191,191,
AR,Travel & Events,19,0,,0,0,0,0,HTTP 404
AR,Gaming,20,3,136,135,135,4,4,
